Local Government Area,Total Number of Deaths
ARARAT ,2
BALLARAT ,16
BAW BAW ,5
BAYSIDE ,1
BENALLA ,3
BOROONDARA ,12
BRIMBANK ,3
CAMPASPE ,5
CARDINIA ,6
CASEY ,6
CENTRAL GOLDFIELDS ,2
COLAC-OTWAY ,6
CORANGAMITE ,4
DAREBIN ,5
EAST GIPPSLAND ,7
FRANKSTON ,5
GANNAWARRA ,3
GLEN EIRA ,1
GLENELG ,1
GOLDEN PLAINS ,1
GREATER BENDIGO ,6
GREATER DANDENONG ,20
GREATER GEELONG ,12
GREATER SHEPPARTON ,9
HINDMARSH ,1
HOBSONS BAY ,5
HORSHAM ,2
HUME ,18
INDIGO ,2
KINGSTON ,9
KNOX ,6
LATROBE ,6
LODDON ,1
MACEDON RANGES ,2
MANNINGHAM ,3
MANSFIELD ,1
MARIBYRNONG ,5
MAROONDAH ,1
MELBOURNE ,18
MELTON ,3
MILDURA ,4
MITCHELL ,5
MOIRA ,3
MONASH ,12
MOONEE VALLEY ,3
MOORABOOL ,4
MORELAND ,3
MORNINGTON PENINSULA ,6
MOUNT ALEXANDER ,1
MOYNE ,3
MURRINDINDI ,6
NORTHERN GRAMPIANS ,1
PORT PHILLIP ,4
PYRENEES ,2
SOUTH GIPPSLAND ,5
SOUTHERN GRAMPIANS ,1
STONNINGTON ,2
STRATHBOGIE ,2
SURF COAST ,1
SWAN HILL ,1
TOWONG ,2
UNKNOWN,3
WANGARATTA ,2
WARRNAMBOOL ,2
WELLINGTON ,5
WEST WIMMERA ,1
WHITEHORSE ,9
WHITTLESEA ,13
WODONGA ,4
WYNDHAM ,9
YARRA ,9
YARRA RANGES ,9
